Date,Adj Close,Close,High,Low,Open,Volume
2021-04-12,190.14520263671875,207.94000244140625,208.22000122070312,204.8699951171875,207.97999572753906,1686200
2021-04-13,184.7135009765625,202.0,207.7899932861328,200.72000122070312,207.32000732421875,3033300
2021-04-14,182.78404235839844,199.88999938964844,203.3300018310547,198.58999633789062,201.1999969482422,2879000
2021-04-15,184.50315856933594,201.77000427246094,202.75999450683594,198.52999877929688,202.75999450683594,1858100
2021-04-16,182.31771850585938,199.3800048828125,202.0800018310547,199.00999450683594,201.19000244140625,2187600
2021-04-19,178.0930633544922,194.75999450683594,199.55999755859375,191.99000549316406,199.3699951171875,2686000
2021-04-20,177.27008056640625,193.86000061035156,196.58999633789062,192.36000061035156,193.86000061035156,3197900
2021-04-21,183.91795349121094,201.1300048828125,201.35000610351562,192.4600067138672,194.16000366210938,2747800
2021-04-22,179.45553588867188,196.25,202.07000732421875,195.8800048828125,201.24000549316406,2379900
2021-04-23,184.31114196777344,201.55999755859375,202.77000427246094,197.94000244140625,198.08999633789062,3210500
2021-04-26,187.4750518798828,205.02000427246094,206.72000122070312,202.10000610351562,202.39999389648438,3238900
2021-04-27,185.99368286132812,203.39999389648438,209.19000244140625,202.4600067138672,207.77999877929688,2790700
2021-04-28,181.65017700195312,198.64999389648438,203.88999938964844,198.35000610351562,203.88999938964844,2191500
2021-04-29,183.5796356201172,200.75999450683594,201.66000366210938,196.39999389648438,201.1999969482422,1982500
2021-04-30,176.03558349609375,192.50999450683594,198.3300018310547,191.0500030517578,197.27000427246094,3704600
2021-05-03,175.4229278564453,191.83999633789062,195.94000244140625,190.47000122070312,194.75,2245300
2021-05-04,174.73715209960938,191.08999633789062,191.75,185.1999969482422,188.5,4444300
2021-05-05,174.1153106689453,190.41000366210938,192.72999572753906,188.47000122070312,192.02000427246094,4243000
2021-05-06,176.04476928710938,192.52000427246094,192.6199951171875,186.25999450683594,189.4199981689453,2785600
2021-05-07,180.98265075683594,197.9199981689453,198.5,193.3300018310547,195.0,3321400
2021-05-10,172.85342407226562,189.02999877929688,196.41000366210938,188.91000366210938,195.3000030517578,2850400
2021-05-11,176.0630340576172,192.5399932861328,192.8300018310547,182.58999633789062,183.4199981689453,3037300
2021-05-12,167.1382598876953,182.77999877929688,189.99000549316406,181.72000122070312,187.7899932861328,3820500
2021-05-13,170.485107421875,186.44000244140625,189.1300048828125,184.69000244140625,184.85000610351562,2586100
2021-05-14,175.81614685058594,192.27000427246094,194.9499969482422,188.16000366210938,188.8000030517578,2953800
2021-05-17,174.8194122314453,191.17999267578125,191.47000122070312,187.24000549316406,190.25999450683594,2244600
2021-05-18,174.8834228515625,191.25,195.35000610351562,191.17999267578125,193.07000732421875,2288500
2021-05-19,178.25767517089844,194.94000244140625,195.80999755859375,186.1199951171875,187.16000366210938,2748900
2021-05-20,182.58287048339844,199.6699981689453,200.6199951171875,195.58999633789062,195.58999633789062,2641400
2021-05-21,182.73834228515625,199.83999633789062,202.32000732421875,199.17999267578125,201.1300048828125,2237200
2021-05-24,186.8898468017578,204.3800048828125,205.6999969482422,200.74000549316406,200.74000549316406,2092100
2021-05-25,187.2373046875,204.75999450683594,206.63999938964844,204.1300048828125,206.0,1916500
2021-05-26,188.4992218017578,206.13999938964844,207.86000061035156,204.02000427246094,204.69000244140625,1983300
2021-05-27,192.23007202148438,210.22000122070312,210.41000366210938,205.0,206.50999450683594,3503800
